SKU,brands,name,description,taste_notes,taste_notes_category,price_200g,image_url,varietal,altitude,processing method,roast level,roasted for,origin,blend,link
012,Nine Lives Coffee Roaster,111 Blend,"origin : Ethiopia, Ethiopia varietal : 74110, 74112, Heirloom process : Washed, Natural altitude : 2200 masl, 1900 masl tasting notes : floral, berry, earl grey","floral, berry, earl grey","Fruity, Floral",RM 48,https://cdn.shopify.com/s/files/1/0814/4027/6715/files/NLCR_ShopeeImg_justbox-01.jpg?v=1771650239,"74110, 74112, Heirloom","2200 masl, 1900 masl","Washed, Natural",Unknown,Espresso,Ethiopia,Yes,https://ninelivescoffee.co/products/111-blend
013,FCR Coffee,2.0 Blend Signature 100% Arabica Coffee Blend,A medium-roasted blend of Brazil Samba and El Salvador La Reforma Red Bourbon for espresso or manual brewing.,"Sweet Toffee Caramel, Vanilla Beans, Candied Orange, Smooth Finish","Fruity, Sweet",RM 36,https://fcrcoffee.com/wp-content/uploads/2025/05/WhatsApp-Image-2026-05-29-at-2.42.44-PM-2.jpeg,Red Bourbon,,,Medium,Both,"Brazil, El Salvador",Yes,https://fcrcoffee.com/product/2-0-blend-signature-100-arabica-coffee-blend/
014,FCR Coffee,3.0 Blend Signature 100% Arabica Coffee Blend,A medium-dark blend of Brazil Samba and Indonesia Mandheling Triple Picked Grade 1 for espresso or manual brewing.,"Roasted Peanut, Mild Lime, Bold Earthy Tones, Sweet Lingering Finish","Fruity, Sweet, Nutty/Cocoa, Roasted",RM 36,https://fcrcoffee.com/wp-content/uploads/2025/05/WhatsApp-Image-2026-05-29-at-2.42.44-PM-3.jpeg,,,,Medium-Dark,Both,"Brazil, Indonesia",Yes,https://fcrcoffee.com/product/3-0-blend-signature-100-arabica-coffee-blend/
015,FCR Coffee,4.0 Blend Signature 100% Arabica Coffee Blend,A medium-dark blend of Brazil Samba and Papua New Guinea Korofeigu for espresso or manual brewing.,"Bold Bitter, Dark Cacao, Burnt Sugar, Smoky Finish","Sweet, Nutty/Cocoa, Roasted",RM 36,https://fcrcoffee.com/wp-content/uploads/2025/05/WhatsApp-Image-2026-05-29-at-2.42.44-PM-5.jpeg,,,,Medium-Dark,Both,"Brazil, Papua New Guinea",Yes,https://fcrcoffee.com/product/4-0-blend-signature-100-arabica-coffee-blend/
016,FCR Coffee,5.0 Blend Signature 100% Arabica Coffee Blend,A medium-dark Arabusta house blend of Brazil Santos Arabica and 30% Indonesia Java Robusta for espresso or manual brewing.,"Classic Bitter, Strong Chocolate, Lingering Aftertaste","Nutty/Cocoa, Roasted",RM 36,https://fcrcoffee.com/wp-content/uploads/2025/05/WhatsApp-Image-2026-05-29-at-2.42.43-PM.jpeg,,,,Medium-Dark,Both,"Brazil, Indonesia",Yes,https://fcrcoffee.com/product/5-0-blend-signature-100-arabica-coffee-blend/
017,Arkib Kopi,ABADI,"We introduce this blend composition to invite casual coffee drinkers into specialty coffee world. The coffee is mainly driven by nutty and chocolaty sweetness with an fruity aroma that mainly comes from natural process coffee, giving a unique coffee flavour experience that draws a crowd into specialty coffee","Mango Smoothie, Guava, Red Cherry Syrup, Kek Buah Kukus","Fruity, Sweet",RM 48,https://cdn.shopify.com/s/files/1/2797/8666/files/ABADI-0_56f6f3e2-4c07-402a-8b27-ce54636cd233.png?v=1753332030,,,natural,Light,Espresso,"Brazil, Rwanda",Yes,https://arkibkopi.my/products/abadi
018,Brew & Bread,CLEANSER - Whole Bean,"A dark-roasted seasonal blend of Latin American and African coffees, offered in 250g and 1kg whole-bean sizes.","Lighten Up, Relax, Refresh",Other,RM 44,https://brewnbread.com/wp-content/uploads/2021/03/Cleanser-Whole-Bean-Cover-Photo.jpeg,,,,Dark,Both,,Yes,https://brewnbread.com/product/cleanser-whole-bean/
019,Ang Ang Roastery,COCOANUT - Signature House Blend,"A year of careful research and countless test batches turns into a blend to please the everyday coffee drinker — a 50/50 pairing of Colombian and Brazilian beans. Colombian beans bring gentle acidity and a soft cocoa brightness. Brazilian beans add body, with warm notes of chocolate, toasted nuts, and a touch of caramel. Together, they create a smooth, medium-bodied cup — rich, balanced, and comforting. We call it Co","Milk Chocolate, Almond, Brown Sugar","Sweet, Nutty/Cocoa",RM 33,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/CocoanutRedo3.webp?v=1753182484,(a) Bourbon; (b) Typica,(a) 1100 masl; (b) 1600 mas,(a) Natural; (b) Washed,Unknown,Espresso,,Yes,https://aarcoffeelibrary.com/products/cocoanut-signature-house-blend-1
020,Ang Ang Roastery,COCOANUT - Signature House Blend,Process: (a) Natural; (b) Washed. Variety: (a) Bourbon; (b) Typica. Altitude: (a) 1100 masl; (b) 1600 masl,"Milk Chocolate, Almond, Brown Sugar","Sweet, Nutty/Cocoa",RM 38,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/COVER_3.png?v=1753248047,(a) Bourbon; (b) Typica,(a) 1100 masl; (b) 1600 masl,(a) Natural; (b) Washed,Unknown,Espresso,,Yes,https://aarcoffeelibrary.com/products/cocoanut-signature-house-blend
021,Emery Coffee Roastery,Colombia El Paraiso 92 Pink Bourbon,,"Pink Guava, Pineapple, Popsicle","Fruity, Sweet",RM 163,https://cdn.shopify.com/s/files/1/0026/0299/1734/files/Screenshot_2026-01-13_at_3.16.14_PM.png?v=1768288588,Bourbon,,Yeast Anaerobic,Light,Both,Colombia,No,https://emery.coffee/products/columbia-el-paraiso-92
022,Brew & Bread,COLOMBIA EL TABLON LA PENA - Whole Bean,A dark-roasted Colombia whole-bean coffee suitable for pour-over or espresso.,"Berries, Floral, Fruity","Fruity, Floral",RM 44,https://brewnbread.com/wp-content/uploads/2026/02/LA-PENA-WHOLE-BEAN-Cover-Photo.jpeg,,,,Dark,Both,Colombia,No,https://brewnbread.com/product/el-tablon-la-pena-whole-bean/
023,43 Coffee,Colombia Felipe Arcila,"Produced by renowned coffee producer Felipe Arcila at Jardines Del Eden, this light-roasted Orange Typica offers a vibrant and exotic expression of Colombian specialty coffee. Bursting with tropical fruit sweetness, the cup is layered with smooth vanilla notes and lifted by a refreshing lime-like brightness that adds clarity and balance. Naturally processed to enhance its complexity and sweetness, it delivers a juicy","Tropical Fruit, Vanilla, Lime","Fruity, Sweet",RM 115,https://cdn.shopify.com/s/files/1/0668/0428/5648/files/Colombia_Felipe_Arcila.png?v=1780991739,Orange Typica,,Natural,Light,Both,Colombia,No,https://43coffee.com/products/colombia-felipe-arcila
024,Decrypt Coffee,Colombia Finca La Luisa Strawberry,"Opening with the aroma of strawberry preserves and rose petals, this coffee blooms into a cup of red apple acidity and creamy, honey-like texture. The sweetness is deep yet elegant, reminiscent of fruit compote and vanilla cream.

A light-medium roast preserves its delicate aromatics while rounding the acidity for a balanced, juicy profile. ","Strawberry Jam, Red Apple, Rose Petal","Fruity, Floral",RM 80,https://cdn.shopify.com/s/files/1/0833/5831/8785/files/Copyof_New_Productimage_27.png?v=1761670755,Caturra,"1, 600 – 1, 750 masl",Strawberry Fermentation Honey,Light,Both,Colombia,No,https://decryptcoffee.com/products/colombia-finca-la-luisa-strawberry
025,Emery Coffee Roastery,Colombia Finca Milan,,"Melon, Grape, Guava, Mint",Fruity,RM 163,https://cdn.shopify.com/s/files/1/0026/0299/1734/files/Screenshot_2026-01-13_at_3.13.26_PM.png?v=1768288421,,,Co-fermentation (Watermelon + Microbes + Nitro),Light,Both,Colombia,No,https://emery.coffee/products/columbia-finca-milan
026,2F Coffee Roastery,COLOMBIA GEISHA CGLE Cafe Granja La Esperanza - Washed process,"A light-roasted washed Geisha from Cafe Granja La Esperanza in Colombia, grown at 1,550-1,800 masl.","Stone Fruit, Floral Tea, Blueberry, Honey","Fruity, Floral, Sweet",RM 225,https://cdn.store-assets.com/s/390997/i/99546141.png,Geisha,1550-1800 masl,Washed,Light,,Colombia,No,https://www.2fcoffeeroastery.com/collections/coffee-bean-1/products/colombia-finca-la-luisa-geisha-natural
027,Lekker Coffee Roasters,Colombia Granja El Paraiso 92,"COLOMBIA GRANJA EL PARAISO 92 Tasting notes: Pink guava, Pineapple, floral Process : Yeast inoculation","Pink guava, Pineapple, floral","Fruity, Floral",RM 130,https://cdn.shopify.com/s/files/1/0906/2937/4318/files/Green_Beans.webp?v=1775211951,"Pink Bourbon, Bourbon",1800 masl,Yeast inoculation,Unknown,Filter,Colombia,No,https://lekkercoffeeroasters.myshopify.com/products/colombia-granja-el-paraiso-92-gesha-copy
028,Bean Brothers,Colombia Altos Del Paraíso,"Tasting Notes: Fruit jam, redcurrant, wild honey Altitude: Average 1, 959m Owner: José Ignacio Gómez Fruit jam, redcurrant, wild honey","Fruit jam, redcurrant, wild honey","Fruity, Sweet",RM 79,https://cdn.shopify.com/s/files/1/0369/0987/5244/files/202607_bb-so-sku-shopee-lazada-11.jpg?v=1782708879,Caturra,"Average 1, 959m",Honey,Medium,Both,Colombia,No,https://beanbrothers.my/products/colombia-altos-del-paraiso
029,The Crackpots,Colombia El Diviso Yellow Bourbon Yeast Natural,"Tasting Note: Floral, Yellow Plum, Clementine, Mango, Nectarine, Mint Choc Brewing Recommendation: Filter Brews, Modern Espresso Yellow plum is the first thing you'll taste in this Colombian El Diviso Yellow Bourbon, produced by Nestor Lasso by steering the whole-cherry ferment with selected yeast, and the cup that comes back is clean, floral and stacked with yellow stone fruit","Floral, Yellow Plum, Clementine, Mango, Nectarine, Mint Choc","Fruity, Floral",RM 99,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/CHEDYBBYN-26-01_cover.png?v=1783265366,"Yellow Bourbon, Bourbon",000 masl,Yeast-Inoculated Natural,Unknown,Both,"Brazil, Colombia",Yes,https://thecrackpots.com/products/colombia-el-diviso-yellow-bourbon-yeast-natural
030,COFA Coffee,Aceh Gayo Ratawali G1 TP,"A Grade 1 triple-picked Sumatran specialty coffee with a robust body, layered acidity and floral-spice aromatics.","Dark Chocolate, Caramel, Citrus, Grapefruit, Floral, Spice","Fruity, Floral, Sweet, Nutty/Cocoa, Spices",RM 68,https://cofastore.com.my/wp-content/uploads/2022/11/ACEH-GAYO-1.jpg,,,Wet Hulled,Medium-Dark,Both,Indonesia,No,https://cofastore.com.my/product/aceh-gayo-ratawali-g1-tp/
031,Arkib Kopi,AIR TERJUN AWET MUDA,"Air Terjun Awet Muda is the evolution of our earlier Pae’rgi blend, a shift from a straightforward white collar morning coffee into a more elegant expression of washed-process nuance. Built from Rwanda Gatare and Ethiopia Mustefa Abakeno, both clean and vibrant in profile, ATMA carries gentle florals with a lift of citrus and soft stone fruits, a blend that feels familiar yet distinctly more refined","Apricot, Kumquat, Blood Orange, Safron, Honeydew","Fruity, Sweet",RM 48,https://cdn.shopify.com/s/files/1/2797/8666/files/AWAMU-00_4196c041-29d1-4ca0-a185-afec6a5e428f.png?v=1781843344,,,washed,Light,Both,"Ethiopia, Rwanda",Yes,https://arkibkopi.my/products/air-terjun-awet-muda
032,Arkib Kopi,ARKIB PROTOKOL #0034 POINTU,"Breaking down coffee quality to its very core has always been part of Arkib’s pursuit. Since 2021, we have worked closely at the farm level, studying cultivation practices, fermentation environments, and the relationship between processing and flavour. These explorations gradually shaped our collaboration with small coffee producers, leading to the creation of the Protokol series, a collection of custom processed cof","Mangosteen, Mango, Prune, Dried Plum, Lady Apple",Fruity,RM 52,https://cdn.shopify.com/s/files/1/2797/8666/files/04.ARKIBPROTOKOL_0034POINTU-00.png?v=1779327939,,,washed,Medium,Both,,,https://arkibkopi.my/products/arkib-protokol-0034-pointu
033,Arkib Kopi,ARKIB PROTOKOL #0036 MEKARIA,Breaking down coffee quality to its very core has always been central to Arkib’s pursuit. Since 2021 we have worked closely at farm level studying cultivation practices fermentation environments and the link between processing and flavour. These explorations gradually shaped our collaboration with small producers and led to the creation of the Protokol series a collection of custom processed coffees developed togethe,"Mata Kucing, Bunga Kantan, Roselle Syrup, Durian Crepe, Burrata","Floral, Sweet",RM 52,https://cdn.shopify.com/s/files/1/2797/8666/files/PROTOKOL_0036_MEKARIA_-_00_76d9255e-1f06-4236-9883-36daf48c3c0a.png?v=1781710761,,,honey,Medium,Both,,,https://arkibkopi.my/products/arkib-protokol-0036-mekaria
034,Ang Ang Roastery,Asian Twin | Myanmar Blend,Process: (a) Raisin Anaerobic Honey; (b) Double Anaerobic Washed. Variety: Catimor & Caturra. Altitude: 1200 masl,"Black: Orange, Mixed Berries, Cacao, Brown Sugar, Hazelnut; White: Orange Marmalade, White Chocolate, Hazelnut","Fruity, Sweet, Nutty/Cocoa",RM 52,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/asian-twin_d04ef380-6fe8-46c3-8162-1da19a4d9a07.jpg?v=1759972436,Catimor & Caturra,1200 masl,(a) Raisin Anaerobic Honey; (b) Double Anaerobic Washed,Unknown,Espresso,Myanmar,Yes,https://aarcoffeelibrary.com/products/asian-twin-seasonal-espresso-blend
035,Ghostbird Coffee,Aurora Espresso Blend,"Composition: 50% Ethiopia Sidama, 50% Colombia Cauca Roast Level: Medium Roast Tasting Note: Grapefruit, Blackcurrant, Black Tea Crafted with the idea of a sweet blend with fruity and floral flavours. A blend that is enjoyable both with or without milk","Grapefruit, Blackcurrant, Black Tea",Fruity,RM 21,https://cdn.shopify.com/s/files/1/0519/6749/2290/files/aurora_espresso_blend_2184147c-625a-4de8-99b9-fbd569bd3efb.png?v=1759199327,,,Natural,Medium,Both,"Colombia, Ethiopia",Yes,https://ghostbirdcoffee.co/products/aurora-espresso-blend-ws
036,Lekker Coffee Roasters,Bayu Blend,"Tasting Notes : Chocolate, Stone Fruits, Caramel Bayu pairs a Brazil and Colombia lot for a layered espresso with a rich chocolate base and a pronounced Stone Fruits sweetness. The creamy body and soft acidity give it an elegant balance, with a smooth, lasting finish. Bayu is ideal for those wanting a refined espresso with a touch of fruit, great on its own or with milk","Chocolate, Stone Fruits, Caramel","Fruity, Sweet, Nutty/Cocoa",RM 45,https://cdn.shopify.com/s/files/1/0906/2937/4318/files/BlackandWhiteMinimalistCoffeePackagingMockupFacebookPost-2.png?v=1784533069,,,,Unknown,Espresso,"Brazil, Colombia",Yes,https://lekkercoffeeroasters.myshopify.com/products/bayu
037,Kopenhagen Coffee,Bensa Bombe #2,"A washed Ethiopian Heirloom lot from Bensa Bombe, grown at 1,993–2,150 MASL and light roasted for filter brewing.","Orange Marmalade, Chrysanthemum, Earl Grey","Fruity, Sweet, Floral, Green/Vegetative",RM 68,https://cdn.shopify.com/s/files/1/0564/8646/1604/files/EthiopiaBensaBombe_ffbc5b0c-8dda-48c3-a614-75b37b588265.png?v=1773646059,Heirloom,1993-2150 MASL,Washed,Light,Filter,Ethiopia,No,https://www.kopenhagencoffee.com/products/magarrissa-tulise-copy
038,Decrypt Coffee,Berry Gummy Blend,"This espresso blend brings together the best of Ethiopia’s two processing styles— washed and natural —to create a cup that’s both vibrant and balanced. The washed component contributes clarity, bright citrus, and floral tea-like notes, while the natural component adds layers of ripe berries, jammy sweetness, and tropical fruit depth","Fruity, Floral, Berries Jam","Fruity, Floral",RM 40,https://cdn.shopify.com/s/files/1/0833/5831/8785/files/New_Product_image_57.png?v=1756141465,,,"Washed, Natural",Medium,Espresso,Ethiopia,Yes,https://decryptcoffee.com/products/fruity-ethiopia-blend
039,Bean Brothers,Black Suit,"Rich chocolate flavor that fills your mouth We pursue coffee that anyone can drink comfortably. The sweetness of chocolate and the nutty flavor of roasted nuts are in harmony, and the sweet aftertaste lasts a long time","roasted nuts are in harmony, and the sweet aftertaste lasts a long time","Nutty/Cocoa, Roasted",RM 60,https://cdn.shopify.com/s/files/1/0369/0987/5244/files/BlackSuit.png?v=1783415293,,,,Dark,Espresso,,Yes,https://beanbrothers.my/products/blacksuit
040,Liten Coffee,Blackforest Espresso Blend,,"dark chocolate, dark cherry, dried fruits","Fruity, Nutty/Cocoa",RM 36,,,,,Medium-Dark,Espresso,"Brazil, Indonesia",Yes,https://litencoffee.com/products/blackforest-espresso-blend
041,Yello Coffee Solution,BLAKE -- I I II I 03,,"Gentle acidity, Full Body, Toasted Almond, Cacao, Caramel sweetness, Chocolate finish","Nutty/Cocoa, Roasted",RM 32,https://cdn.store-assets.com/s/746806/i/95248026.png,,,,Medium-Dark,Both,"Brazil, Papua New Guinea",Yes,https://www.yellocoffeesolution.com/products/yello-03
042,2F Coffee Roastery,Blake Coffee Bean | Dark Roasted Blend - 200g/500g,"A medium-dark blend of Brazil Santos natural and Indonesia Timor washed coffees, sold in 200g and 500g sizes.","Roasted Nut, Brown Sugar, Dark Chocolate","Sweet, Nutty/Cocoa, Roasted",RM 40,https://cdn.store-assets.com/s/390997/i/73606862.png,,,"Natural, Washed",Medium-Dark,Both,"Brazil, Indonesia",Yes,https://www.2fcoffeeroastery.com/collections/coffee-bean-1/products/blake-coffee-bean-dark-roasted-blend-200g-500g
043,43 Coffee,Blanco,"Bright and lively with tropical citrus notes layered over a smooth chocolatey base. As filter, it delivers a juicy and refreshing cup; as espresso, it balances vibrant acidity with a creamy, sweet finish that works beautifully in milk","Passion Fruit, Orange, Milk Chocolate","Fruity, Nutty/Cocoa",RM 30,https://cdn.shopify.com/s/files/1/0668/0428/5648/files/Blanco_e7259ff0-1008-481a-83d7-41a258362cb3.png?v=1778836053,,,Washed,Light,Both,Colombia,Yes,https://43coffee.com/products/blanco
044,43 Coffee,Blockbuster,"Taste Notes : Caramel Popcorn, Buttery, Hazelnut Blend : Brazil 50%, Nicaragua 50% Suitable For : Espresso, Milk Coffee","Caramel Popcorn, Buttery, Hazelnut","Sweet, Nutty/Cocoa",RM 30,https://cdn.shopify.com/s/files/1/0668/0428/5648/files/Blockbuster_e9b75b92-6209-4264-afd7-44510f075c86.png?v=1778835910,,,,Dark,Espresso,"Brazil, Nicaragua",Yes,https://43coffee.com/products/blockbuster
045,Ang Ang Roastery,Blueberry Tart Thailand Chiang Rai Srima,Process: Co-Fermentation Double Anaerobic Honey. Variety: Caturra. Altitude: 1400-1600 masl,"Blueberry, Mixed Berries, Brown Sugar, Black Forest Cake","Fruity, Sweet",RM 127,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/Level4BlueberryTart.png?v=1753352090,Caturra,1400-1600 masl,Co-Fermentation Double Anaerobic Honey,Unknown,Filter,Thailand,No,https://aarcoffeelibrary.com/products/blueberry-tart-thailand-chiang-rai-srima
046,Ang Ang Roastery,PEANUT BRITTLE - Seasonal Espresso Blend,Process: (a) Washed; (b) Anaerobic Natural. Variety: (a) Heirloom; (b) Typica. Altitude: (a) 1700-2200 masl; (b) 1500-1900 masl,"Black: Peanuts Brittle, Stonefruits, Blackberries; White: Peanuts Brittle, Coconut","Fruity, Sweet, Nutty/Cocoa",RM 52,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/productcover-03.webp?v=1753171968,Heirloom; Typica,(a) 1700-2200 masl; (b) 1500-1900 masl,(a) Washed; (b) Anaerobic Natural,Unknown,Espresso,,Yes,https://aarcoffeelibrary.com/products/peanut-brittle-seasonal-espresso-blend
047,One Half Coffee,Ecuador La Papaya Reserve Typica Mejorado Anaerobic Natural,Region: loja. Producer: juan peña. Process: 120 hours anaerobic natural. Altitude: 1600 masl.,"golden kiwi, mulled wine, hibiscus tea, structured sweetness","Fruity, Sour/Fermented, Green/Vegetative, Sweet, Floral",RM 250,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/ecuappyreservetman.png?v=1779095215,typica mejorado,1600 masl,120 hours anaerobic natural,Unknown,Filter,Ecuador,No,https://www.onehalfcoffee.com/products/ecuador-la-papaya-reserve-typica-mejorado-anaerobic-natural-1?weight=100g
048,Ang Ang Roastery,Kenya Machakos AA Top Koyamaen,"Process: 72hr Double Fermentation Washed. Variety: SL28, SL34. Altitude: 1900 masl","Roselle, Blackcurrant, Grapefruit, Hints of Matcha","Fruity, Floral",RM 120,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/COVER_12.png?v=1753248379,"SL28, SL34",1900 masl,72hr Double Fermentation Washed,Unknown,Filter,Kenya,No,https://aarcoffeelibrary.com/products/kenya-machakos-aa-top-koyamaen
049,2F Coffee Roastery,China Yun Nan Lan Chang Tian Hao - Anaerobic Natural,"A light-medium anaerobic-natural Catimor and Typica coffee from Yunnan, grown at 1,200-1,600 masl.","Grape, Raisin, Passion Fruit, Cacao","Fruity, Nutty/Cocoa",RM 90,https://cdn.store-assets.com/s/390997/i/92796398.png,"Catimor, Typica",1200-1600 masl,Anaerobic Natural,Medium Light,Both,Yunnan,No,https://www.2fcoffeeroastery.com/collections/coffee-bean-1/products/china-yun-nan-lan-chang-tian-hao-anaerobic-natural
050,Yello Coffee Solution,China YunNan - Anaerobic Natural,,"Grape, Raisin, Passion Fruit, Cacao","Fruity, Nutty/Cocoa",RM 80,https://cdn.store-assets.com/s/746806/i/99340336.png,"Catimor, Typica",1200 - 1600 masl,Anaerobic Natural,Medium Light,Both,Yunnan,No,https://www.yellocoffeesolution.com/products/china-yunnan-lan-chang-tian-hao-
051,Ang Ang Roastery,Colombia Narino El Limo,Process: Anaerobic Natural. Variety: Castillo. Altitude: 1800 - 1900 masl,"Mango, Stewed Apple, Prunes, Vanilla Chocolate, Hints of Raspberry","Fruity, Sweet, Nutty/Cocoa",RM 120,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/narino-el-limo_944ebb2d-cb56-43ec-a6d5-19cdcd36404f.jpg?v=1759972398,Castillo,1800 - 1900 masl,Anaerobic Natural,Unknown,Filter,Colombia,No,https://aarcoffeelibrary.com/products/colombia-narino-el-limo
